MANDT,BUKRS,BUTXT,ORT01,LAND1,WAERS,SPRAS,KTOPL,WAABW,PERIV,KOKFI,RCOMP,ADRNR,STCEG,FIKRS,XFMCO,XFMCB,XFMCA,TXJCD,FMHRDATE,BUVAR,FDBUK,XFDIS,XVALV,XSKFN,KKBER,XMWSN,MREGL,XGSBE,XGJRV,XKDFT,XPROD,XEINK,XJVAA,XVVWA,XSLTA,XFDMM,XFDSD,XEXTB,EBUKR,KTOP2,UMKRS,BUKRS_GLOB,FSTVA,OPVAR,XCOVR,TXKRS,WFVAR,XBBBF,XBBBE,XBBBA,XBBKO,XSTDT,MWSKV,MWSKA,IMPDA,XNEGP,XKKBI,WT_NEWWT,PP_PDATE,INFMT,FSTVARE,KOPIM,DKWEG,OFFSACCT,BAPOVAR,XCOS,XCESSION,XSPLT,SURCCM,DTPROV,DTAMTC,DTTAXC,DTTDSP,DTAXR,XVATDATE,PST_PER_VAR,XBBSC,F_OBSOLETE,FM_DERIVE_ACC,YYORGEH
350,IBE ,UNESCO Inter. Bur. of edu,Geneve                   ,CH ,USD  ,E,UNES,00,K4,2,      ,0000212468,                    ,IBE , , ,X,               ,20070101, ,    ,X,X,X,    , ,    ,X,X, ,X,X, ,X,X, , , ,    ,    ,    ,IBE   ,UNES,IBE , , ,    , , , , , ,V0,A0, , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,26790600
350,ICBA,Inst Capacity Builld Afr ,Addis Ababa              ,ET ,USD  ,E,UNES,00,K4,2,      ,0000443549,                    ,ICBA, , ,X,               ,20130101, ,    ,X,X,X,    , ,    ,X,X, , ,X, ,X,X, , , ,    ,    ,    ,ICBA  ,UNES,ICBA, , ,    , , , , , ,I0,  , , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,21236571
350,ICTP,ICTP                     ,Trieste                  ,IT ,EUR  ,E,UNES,00,K4,2,      ,0000318098,IT80033730328       ,ICTP, , ,X,               ,20161001,2,    ,X,X,X,    , ,    ,X,X, , ,X, ,X,X, , , ,    ,    ,    ,ICTP  ,UNES,ICTP, , ,    , , , , , ,V0,A0, , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,26384550
350,IIEP,Int. Inst. for Edu. Plan.,Paris                    ,FR ,USD  ,E,UNES,00,K4,2,      ,0000212469,                    ,IIEP, , ,X,               ,20070101, ,    ,X,X,X,    , ,    ,X,X, ,X,X, ,X,X, , , ,    ,    ,    ,IIEP  ,UNES,IIEP, , ,    , , , , , ,V0,A0, , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,00001900
350,MGIE,Mahatma Gandhi Institute ,New Delhi                ,IN ,USD  ,E,UNES,00,K4,2,      ,0000352232,                    ,MGIE, , ,X,               ,20130101, ,    ,X,X,X,    , ,    ,X,X, , ,X, ,X,X, , , ,    ,    ,    ,MGIE  ,UNES,MGIE, , ,    , , , , , ,I0,  , , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,25360500
350,STEM,China Intitute           ,Beijin                   ,CN ,USD  ,E,UNES,00,K4, ,      ,0000455631,                    ,    , , , ,               ,20130101, ,    ,X,X,X,    , ,    ,X,X, , ,X, ,X,X, , , ,    ,    ,    ,      ,UNES,ICBA, , ,    , , , , , ,I0,  , , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,21236571
350,UBO ,UNESCO Brazilian Office  ,Brasília                 ,BR ,BRL  ,E,UNES,00,K4,2,      ,0000230794,                    ,UBO , , ,X,               ,20080101,2,    ,X,X,X,    , ,    ,X,X, ,X,X, ,X,X, , , ,    ,    ,    ,UBO   ,UNES,UBO , , ,    , , , , , ,C0,  , , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,40000000
350,UIL ,UNESCO Inst. Lifel Learn ,Hamburg                  ,DE ,EUR  ,E,UNES,00,K4,2,      ,0000337696,                    ,UIL , , ,X,               ,20120101, ,    ,X,X,X,    , ,    ,X,X, , ,X, ,X,X, , , ,    ,    ,    ,UIL   ,UNES,UIL , , ,    , , , , , ,V0,A0, , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,26290521
350,UIS ,UNESCO Instit. for Stat. ,Montréal                 ,CA ,USD  ,E,UNES,00,K4,2,      ,0000212470,                    ,UIS , , ,X,               ,20070101, ,    ,X,X,X,    , ,    ,X,X, ,X,X, ,X,X, , , ,    ,    ,    ,UIS   ,UNES,UIS , , ,    , , , , , ,I0,  , , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,22131000
350,UNES,UNESCO                   ,PARIS                    ,FR ,USD  ,E,UNES,00,K4,2,      ,0000022029,                    ,UNES, , ,X,               ,20070101,2,    ,X,X,X,    , ,    ,X,X, ,X,X, ,X,X, , , ,    ,    ,    ,UNES  ,UNES,UNES, , ,Z001, , , , , ,V0,A0, , , , , ,    ,UNES, , ,0,  , , ,X, ,  ,  ,  ,  ,    , , , , ,X,00000000
