object,name,state,devclass_p01,devclass_d01,author_p01,author_d01
CLAS,CL_IDFI_CGI_DMEE_AE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_AT,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_AU,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_BE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_BG,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_CA,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_CH,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_CN,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_CZ,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_DE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_DK,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_EE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_ES,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_FALLBACK,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_FR,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_GB,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_HK,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_HR,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_IE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_IT,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_LT,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_LU,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_MX,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_PL,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_PT,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_RO,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_SE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_SK,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_TW,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_US,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_USAGE,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,CL_IDFI_CGI_DMEE_UTILS,BOTH,ID-FI-REU-PAYM,ID-FI-REU-PAYM,SAP,SAP
CLAS,YCL_IDFI_CGI_DMEE_FALLBACK,BOTH,YA,YA,N_MENARD,N_MENARD
CLAS,YCL_IDFI_CGI_DMEE_FR,BOTH,YA,YA,N_MENARD,N_MENARD
CLAS,YCL_IDFI_CGI_DMEE_UTIL,BOTH,YA,YA,N_MENARD,N_MENARD
ENHO,YENH_FI_DMEE_CGI_FALLBACK,BOTH,YA,YA,N_MENARD,N_MENARD
ENHO,Y_IDFI_CGI_DMEE_COUNTRY_FR,BOTH,YA,YA,N_MENARD,N_MENARD
FUGR,ZWFPAYROLL_STATUS,BOTH,ZHR_EPP,ZHR_EPP,PT_TRUONG,PT_TRUONG
CLAS,YCL_IDFI_CGI_DMEE_DE,P01_ONLY,YA,,N_MENARD,
CLAS,YCL_IDFI_CGI_DMEE_IT,P01_ONLY,YA,,N_MENARD,
ENHO,Y_IDFI_CGI_DMEE_COUNTRIES_DE,P01_ONLY,YA,,N_MENARD,
ENHO,Y_IDFI_CGI_DMEE_COUNTRIES_FR,P01_ONLY,YA,,N_MENARD,
ENHO,Y_IDFI_CGI_DMEE_COUNTRIES_IT,P01_ONLY,YA,,N_MENARD,
